,Mean,Std,Min,Max
Accuracy,0.86,0.0689202437604511,0.775,0.975
Precision,0.867728301110654,0.12436077309559587,0.6153846153846154,1.0
Recall,0.8104672559123024,0.10459876587648256,0.6818181818181818,0.9545454545454546
F1 Score,0.8327102510989237,0.0931157348847836,0.6956521739130435,0.9767441860465116
ROC AUC,,,,
