Model,Accuracy,F1 Score,ROC AUC
XGBoost,0.8625,0.835820895522388,0.9484600879949716
LightGBM,0.8375,0.8059701492537313,0.9472030169704588
CatBoost,0.825,0.7878787878787878,0.9453174104336894
Ensemble (Soft),0.8375,0.8059701492537313,0.9459459459459458
Ensemble (Hard),0.825,0.7878787878787878,
