iter	Logloss
0	0.6700535206
1	0.6442715089
2	0.6241633503
3	0.5966380878
4	0.578495718
5	0.5596310716
6	0.540904145
7	0.5240761341
8	0.5089562875
9	0.4906267141
10	0.4762502078
11	0.4592478052
12	0.4468492275
13	0.4354997602
14	0.422011822
15	0.4119868391
16	0.3986899804
17	0.389755657
18	0.3808182473
19	0.368819766
20	0.3585415079
21	0.3502443272
22	0.3425908952
23	0.3360437537
24	0.3288417626
25	0.3197338321
26	0.3133272171
27	0.307314707
28	0.2998264534
29	0.2935862726
30	0.287514578
31	0.2819738384
32	0.2761329814
33	0.2706842254
34	0.2663098902
35	0.2603899179
36	0.2546076296
37	0.2504462299
38	0.2460976782
39	0.241622627
40	0.2371542158
41	0.2324802197
42	0.2282684239
43	0.224127472
44	0.2202220925
45	0.2164347971
46	0.2129824063
47	0.2097702112
48	0.2053635579
49	0.2021434437
50	0.1992937068
51	0.1960961801
52	0.1925025204
53	0.1897524024
54	0.1869485612
55	0.1837931778
56	0.1811391617
57	0.1784301296
58	0.1760531794
59	0.1739201377
60	0.1715438855
61	0.1693068154
62	0.1671404756
63	0.1649945017
64	0.1624230855
65	0.160408348
66	0.1585091223
67	0.1566659281
68	0.1544371998
69	0.1527364591
70	0.1509917484
71	0.1491351076
72	0.1473745223
73	0.1456884124
74	0.1437358189
75	0.142239147
76	0.1402386075
77	0.1384720153
78	0.1366599442
79	0.1347457268
80	0.133265645
81	0.1315349751
82	0.1300057012
83	0.1284012206
84	0.1269827322
85	0.1256353603
86	0.1243113155
87	0.1227983732
88	0.1215732628
89	0.1200866228
90	0.118865705
91	0.1177442063
92	0.1166626474
93	0.1155451947
94	0.1144819044
95	0.1131708242
96	0.1120933145
97	0.1109881916
98	0.1099001317
99	0.1087695746
100	0.1074432196
101	0.1064792005
102	0.105371874
103	0.1043016522
104	0.1033573568
105	0.1023300423
106	0.1013560972
107	0.1004408688
108	0.09954935067
109	0.09860638455
110	0.09775207287
111	0.09691298688
112	0.09594985631
113	0.09498024066
114	0.09407899061
115	0.09318531377
116	0.09221332625
117	0.09134665128
118	0.09049524521
119	0.0896987395
120	0.08893517399
121	0.08808140106
122	0.0873749228
123	0.0866165438
124	0.08587401625
125	0.08506349046
126	0.08441375513
127	0.0837834249
128	0.08305330124
129	0.08243247184
130	0.08168713493
131	0.08110111075
132	0.08034816213
133	0.07974577006
134	0.07905546096
135	0.0783014843
136	0.07772464353
137	0.07704914861
138	0.07606107208
139	0.07539800833
140	0.07484242451
141	0.07432141048
142	0.07376144439
143	0.07284516608
144	0.07192586917
145	0.07132101602
146	0.0707977044
147	0.0702800406
148	0.06976360155
149	0.06925125841
150	0.06879558052
151	0.06829866378
152	0.06778024732
153	0.06722715507
154	0.0664993421
155	0.06604962897
156	0.06561911819
157	0.06515362619
158	0.06468644579
159	0.06426454968
160	0.0638450724
161	0.06342048596
162	0.06295404221
163	0.06248079258
164	0.06200560765
165	0.06159611685
166	0.06116152854
167	0.06074096425
168	0.0602985753
169	0.05990328392
170	0.0595336007
171	0.05914518491
172	0.05880062077
173	0.05840480509
174	0.05805614319
175	0.057713374
176	0.05732581377
177	0.05690750641
178	0.05658684589
179	0.05624323203
180	0.05592905419
181	0.05557440725
182	0.05522552467
183	0.05487235544
184	0.05456537496
185	0.05424412261
186	0.05395533
187	0.05363977292
188	0.05324688461
189	0.05293615389
190	0.05265448635
191	0.05234779329
192	0.05205913585
193	0.05169481241
194	0.05141161871
195	0.05110184016
196	0.0508242236
197	0.05055718483
198	0.05020603389
199	0.04990255791
200	0.04958936865
201	0.04932735999
202	0.0490382241
203	0.04879156205
204	0.04848710416
205	0.04822452488
206	0.04787376109
207	0.04762913845
208	0.0473745758
209	0.04713664735
210	0.04688207799
211	0.04662473185
212	0.04636141485
213	0.04610419396
214	0.04588326168
215	0.04559682729
216	0.0453831664
217	0.04509860049
218	0.04481793386
219	0.04458922618
220	0.04434986119
221	0.04413973295
222	0.0438324605
223	0.04361861259
224	0.04340763414
225	0.04321236675
226	0.0430071714
227	0.04273364619
228	0.04253098032
229	0.04232066018
230	0.04211181632
231	0.04190854017
232	0.04169076694
233	0.04149787953
234	0.04127761167
235	0.04109240374
236	0.04086801489
237	0.04066116027
238	0.04047208203
239	0.04029056235
240	0.04010998215
241	0.03993201201
242	0.03973400596
243	0.03952217749
244	0.03933368893
245	0.03915988923
246	0.0389810094
247	0.03880526734
248	0.03864000774
249	0.03845409644
